GENE,Control,Treatment,FDR,AveExpr,P value,CRTL1,CTRL2,CTRL3,T1,T2,T3,CRTL1 CPM,CTRL2 CPM,CTRL3 CPM,T1 CPM,T2 CPM,T3 CPM
,0,2.03838463153298,0.0000174735871276244,4.11448615932056,8.50546536339151e-8,382,221,147,843,649,957,7.583,9.807,7.503,37.542,32.796,38.966
glcF,0,-2.52932947014886,0.0000176244426681288,4.80773599000756,8.93174915362018e-8,3744,1733,956,282,216,308,74.323,76.904,48.796,12.558,10.915,12.541
,0,-3.45384975845784,0.0000181089101168446,6.32813580524525,9.83354297334958e-8,14195,8111,3367,426,486,811,281.790,359.936,171.858,18.971,24.559,33.021
,0,2.42291858735081,0.0000181089101168446,3.69258958300112,9.98702749028543e-8,273,132,95,828,535,738,5.419,5.858,4.849,36.874,27.035,30.049
gsiB,0,3.3939727369684,0.0000181089101168446,7.02082039500942,9.58871891892023e-8,1708,789,954,11204,9292,8683,33.906,35.013,48.694,498.951,469.555,353.543
,0,2.66189885260652,0.0000200095791144754,4.0167007777721,1.21241721491701e-7,314,175,95,1123,887,830,6.233,7.766,4.849,50.011,44.823,33.795
,0,-2.25007821261291,0.0000200095791144754,6.93494420032127,1.20290995339303e-7,12054,7184,4407,1107,1176,1637,239.288,318.800,224.941,49.298,59.427,66.653
plsX,0,-2.27261751578412,0.0000200095791144754,6.07195575248284,1.14893292013289e-7,6247,3819,2697,593,625,941,124.011,169.473,137.660,26.408,31.583,38.314
betI,0,-2.76594626779821,0.0000200095791144754,7.0905412263898,1.22282418198464e-7,14209,8822,7064,939,1114,1677,282.068,391.488,360.560,41.817,56.294,68.282
,0,-2.4830770872133,0.0000207679295034057,8.61405286301483,1.39048805333231e-7,45365,25280,14094,3979,3446,3961,900.556,1121.833,719.384,177.198,174.138,161.279
tpbA,0,-2.73096251649161,0.0000207679295034057,4.01280063892108,1.47445034863222e-7,1972,1335,551,130,125,180,39.147,59.242,28.124,5.789,6.317,7.329
